"Path","Classification","MissingFields"
".github/PULL_REQUEST_TEMPLATE.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"CHANGELOG.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"CODE_OF_CONDUCT.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"CONTRIBUTING.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/adr/ADR-0004-Modular-Engineering-Specifications.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/governance/SIF-Constitution.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/BRANCHING-STRATEGY.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/CODING-STANDARDS.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/COMMIT-CONVENTION.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/HANDBOOK.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/QUALITY-GATE.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/RELEASE-PROCESS.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/handbook/REVIEW-CHECKLIST.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/migrations/WP-108/A1-POWERSHELL-COMPATIBILITY.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/migrations/WP-108/BASELINE.md","compliant",""
"engineering/migrations/WP-108/DISCOVERY-POLICY.md","compliant",""
"engineering/migrations/WP-108/FRONT-MATTER-MIGRATION.md","compliant",""
"engineering/migrations/WP-108/INCREMENT-4-METADATA-COMPLETION.md","compliant",""
"engineering/migrations/WP-108/INCREMENT-5-DOCUMENT-CLASSIFICATION-NORMALIZATION.md","compliant",""
"engineering/models/Metadata-Model.md","compliant",""
"engineering/models/README.md","compliant",""
"engineering/README.md","compliant",""
"engineering/reviews/WP-000-Implementation-Report.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/reviews/WP-003-Phase-2-Implementation-Report.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/reviews/WP-003-Phase-3-Implementation-Report.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/reviews/WP-003-Phase-4-Implementation-Report.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/reviews/WP-004-Architecture-Review.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/reviews/WP-107-Implementation-Report.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-000-Repository-Standards.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-003-Runtime-Foundation.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/01-Foundation.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/02-Architecture.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/03-Contracts.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/04-Binding-and-Registration-Model.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/05-Resolution-Engine.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/06-Runtime-Orchestration.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/07-Testing-and-Verification.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/08-Product-Completion.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/domain/aggregate-boundaries.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/domain/domain-services.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/domain/glossary.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/domain/invariants.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/domain/ubiquitous-language.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/README.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004/SUMMARY.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-004-Dependency-Injection-Container.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-100/EG-003-Metadata-Subsystem.md","compliant",""
"engineering/specifications/WP-100/README.md","compliant",""
"engineering/specifications/WP-100/SUMMARY.md","compliant",""
"engineering/specifications/WP-101/EG-004-Engineering-Repository-Index.md","compliant",""
"engineering/specifications/WP-101/EG-005-Repository-Indexing-Pipeline.md","compliant",""
"engineering/specifications/WP-101/EG-006-Repository-Documentation-Generation.md","compliant",""
"engineering/specifications/WP-101/README.md","compliant",""
"engineering/specifications/WP-101/SUMMARY.md","compliant",""
"engineering/specifications/WP-102/EG-007-Reference-Model.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-102/EG-008-Reference-Parsing.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-102/EG-009-Reference-Resolution.md","compliant",""
"engineering/specifications/WP-102/EG-010-Reference-Graph.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-011-Builder-Engine-Architecture.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-012-Engine-Core-Model.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-013-Extension-Registries.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-014-Pipeline-Orchestration.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-015-Repository-Workflow-Integration.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-016-Artifact-Generation.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-103/EG-017-A1-Serialization-Compatibility.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
